,created,text,location,hashtags,location#
48,2019-10-30 03:28:32,School Punishment: Your Child's Legal Rights Without an IEP https://t.co/Jvt4kClQ9k,,[],0
49,2019-10-30 03:03:01,"@granthpaulsen WELL PUT, PAL!",,[],0
50,2019-10-30 02:53:35,@moneymetalcakes SUCH. A.  HORSESHIT CALL!  Text book by Trea!!!!!,,[],0
51,2019-10-30 02:47:23,@DanHellie Buck annoys me : MLB &amp; NFL. Get Hellie in there!!!,,[],0
52,2019-10-30 02:46:05,@czabe @bretradio Buck has ALWAYS annoyed the s@&amp;$t outta me. MLB &amp; NFL!!,,[],0
53,2019-10-30 02:44:58,@1067theFan ...and Buck annoys the sh@&amp; outta me!!!!,,[],0
54,2019-10-30 02:42:50,@granthpaulsen STRASS!!!!!!,,[],0
55,2019-10-30 02:42:29,@EBJunkies STRASS!!,,[],0
56,2019-10-30 02:40:14,Im literally gonna drug tf outta myself tomorrow because there is absolutely no way I can handle a 12 hour flight w… https://t.co/Gcwl0QI7zR,,[],0
57,2019-10-30 02:34:40,@granthpaulsen KEEP. HIM. IN !!!!,,[],0
58,2019-10-30 02:33:41,"@EBJunkies that was a 1-5-6 infield out, EB 🤡🤡🤡 Nailbiter nonetheless!!",,[],0
59,2019-10-30 02:32:25,Whoever got me sick a day before my Vacation your mom is a HOE,,[],0
60,2019-10-30 02:31:53,I am so proud of @OmniMiddle1 Omni’s science department and our students. We all worked so hard and our students pr… https://t.co/K1ic6rKQDZ,,[],0
61,2019-10-30 02:20:19,@granthpaulsen Keep him in till HE says so!! ALL HANDS!!!!,,[],0
62,2019-10-30 02:19:06,@EBJunkies Big toofed terror!! EVERY time he’s up!!!!,,[],0
63,2019-10-30 02:17:51,@EBJunkies Keep him on till HE says so!! ALL HANDS!!!!,,[],0
64,2019-10-30 01:50:48,Snipear en Crossfire y Killhouse &gt;&gt;&gt;,,[],0
65,2019-10-30 00:57:50,@fred_guttenberg Right on Fred!,,[],0
66,2019-10-30 00:53:44,@ProudResister Well said,,[],0
67,2019-10-30 00:52:19,"@mmpadellan @NicolleDWallace Saw it, loved it.",,[],0
68,2019-10-30 00:49:00,@funder Well said! He died not deserve to receive taxpayers hard earned money to NOT work for the taxpayers and he… https://t.co/FysEdAMuOS,,[],0
69,2019-10-30 00:48:34,"Super Hero Day with a Super K Girl❣️🦇 🦸‍♀️ 

@rosies_ranch @SPESleader @ShineonSPES @KristinMenschel https://t.co/hsTrtDBZJR",,[],0
70,2019-10-30 00:33:46,When you got your @festivaltortuga tickets for April and know you will be seeing @coleswindell in 2020 https://t.co/IMeeCQEfe4,,[],0
71,2019-10-30 00:11:08,@zacbrownband Come back down to South Florida!!! ❤️🎶❤️,,[],0
72,2019-10-30 00:09:13,@coleswindell @LukeBryanOnline @JonTLangston ❤️❤️❤️ Best Concert this summer!!!,,[],0
73,2019-10-29 23:46:58,@CaitlinCotner for scouty!! https://t.co/4KuWg0ftMu,,[],0
74,2019-10-29 23:01:45,Im in so much pain ... and I can’t go home,,[],0
