,created,text,location,hashtags,locationcoor
35,2019-11-04 14:25:01,@Kim_Wrestling @PainPrinceJames You couldn’t have timed that better,,[],"28.475,-80.955,10mi"
36,2019-11-04 14:23:33,"@PainPrinceJames Though I should probably challenge the true Mario Kart champion...,",,[],"28.475,-80.955,10mi"
37,2019-11-04 14:12:37,Females be having “desirable.jazz” &amp; “Craving.angel” as they ig @name just to look worse then my big toe.,,[],"28.475,-80.955,10mi"
38,2019-11-04 14:07:34,@PodVanDam That’s a dupe for the sauce man.,,[],"28.475,-80.955,10mi"
39,2019-11-04 14:05:08,DUDE I HATE EVERYONE LEAVE NE SNAJCNJDVJKCxkdkvkd,,[],"28.475,-80.955,10mi"
0,2019-11-04 15:20:12,girl are you the higgs boson because you’re adding unnecessary weight to my life,"{'type': 'Point', 'coordinates': [31.07915802, -83.47860977]}",[],"30.996,-83.586,10mi"
1,2019-11-04 13:07:04,"Getting out of the devil's light. With a new light on my face, with warm words in my heart. God blessings are upon… https://t.co/k0JK4klIQC",,[],"30.996,-83.586,10mi"
2,2019-11-04 12:48:39,It truly is all up to you… #DaleCarnegieTraining #Inspire #Integrity #Truth #Honesty #Family #Travel #Italy… https://t.co/jJvhAmd9cX,"{'type': 'Point', 'coordinates': [30.91965602, -83.36165082]}","[Hashtag(Text='DaleCarnegieTraining'), Hashtag(Text='Inspire'), Hashtag(Text='Integrity'), Hashtag(Text='Truth'), Hashtag(Text='Honesty'), Hashtag(Text='Family'), Hashtag(Text='Travel'), Hashtag(Text='Italy')]","30.996,-83.586,10mi"
3,2019-11-04 01:20:04,you bitches quantum particles the way you pop in and out of my life,"{'type': 'Point', 'coordinates': [31.07912428, -83.47857155]}",[],"30.996,-83.586,10mi"
4,2019-11-03 16:32:34,UNTIL FURTHER NOTICE: officials in the state of Florida will begin recognizing the city of Jacksonville as being ow… https://t.co/IQyA03i0Mf,,[],"30.996,-83.586,10mi"
5,2019-11-03 13:36:46,Live every day to its fullest… #DaleCarnegieTraining #Inspire #Integrity #Truth #Travel #Family #Italy #Positano… https://t.co/V3EuiOk0bJ,"{'type': 'Point', 'coordinates': [30.91965602, -83.36165082]}","[Hashtag(Text='DaleCarnegieTraining'), Hashtag(Text='Inspire'), Hashtag(Text='Integrity'), Hashtag(Text='Truth'), Hashtag(Text='Travel'), Hashtag(Text='Family'), Hashtag(Text='Italy'), Hashtag(Text='Positano')]","30.996,-83.586,10mi"
0,2019-11-02 15:17:18,@Stop_Trump20 IDK... unbelievable!,,[],"47.134,-119.499,10mi"
1,2019-11-02 14:35:48,@KenidraRWoods_ Maybe his love energy saw the real you and he’s caught by surprise since he hasn’t allowed such energy through before....,,[],"47.134,-119.499,10mi"
2,2019-11-01 15:14:09,@NWSSpokane I didn’t think lizards could survive in these cold temps!!!!,,[],"47.134,-119.499,10mi"
3,2019-11-01 15:12:56,@AP Who really cares? Anyhow that’s optimistic given his potentiality for criminal behavior.,,[],"47.134,-119.499,10mi"
4,2019-10-31 23:39:51,Do I need to add a comment? https://t.co/GP5yXVpfah,,[],"47.134,-119.499,10mi"
5,2019-10-31 23:39:02,@JohnLegere Sounds like a government cover up...,,[],"47.134,-119.499,10mi"
6,2019-10-31 23:34:14,"@kxly4news Yes, decorating before Thanksgiving Day is too early!!!",,[],"47.134,-119.499,10mi"
7,2019-10-31 23:30:47,@BettyBowers Laughable if it wasn’t so scary that folks believed that stuff works...,,[],"47.134,-119.499,10mi"
8,2019-10-31 23:27:47,Listen to @marwilliamson and see if there something that appeals to you... https://t.co/LNeaNfXK63,,[],"47.134,-119.499,10mi"
